SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,COUNTY_SOURCE
PAST SALE,March-22-2021,Single Family Residential,3226 2nd Ave S,Great Falls,MT,59405,365000,6,3.0,Great Falls,4650,13503,1956,,78,,Sold,,,https://www.redfin.com/MT/Great-Falls/3226-2nd-Ave-S-59405/home/131994496,MRMLS,22100944,N,Y,47.5025802,-111.2504975,"Greenville County, SC","Greenville, SC"
PAST SALE,September-26-2022,Single Family Residential,1009 Skyline Ct,Great Falls,MT,59404,540000,5,3.0,Great Falls,3328,11325,2016,,162,,Sold,,,https://www.redfin.com/MT/Great-Falls/1009-Skyline-Ct-59404/home/147439888,MRMLS,22208223,N,Y,47.535371,-111.2885864,"Greenville County, SC","Greenville, SC"
PAST SALE,March-18-2021,Single Family Residential,1341 County Line Rd Unit (30 acres),Fairfield,MT,59436,820000,5,2.5,Fairfield,3507,1306800,1979,,234,,Sold,,,https://www.redfin.com/MT/Fairfield/1341-County-Line-Rd-59436/unit-30-acres/home/183200194,BSCMLS,345687,N,Y,47.6106977,-111.77425,"Greenville County, SC","Greenville, SC"
PAST SALE,June-15-2021,Single Family Residential,3718 1st Ave S,Great Falls,MT,59401,154900,2,1.0,BOSTON AND GREAT FALLS AD,768,7405,1949,,202,,Sold,,,https://www.redfin.com/MT/Great-Falls/3718-1st-Ave-S-59401/home/132168089,MRMLS,22105681,N,Y,47.5036265,-111.2422515,"Greenville County, SC","Greenville, SC"
PAST SALE,October-25-2021,Single Family Residential,3413 Bison Ln,Great Falls,MT,59404,255000,3,2.5,Great Falls,1664,9147,1977,,153,,Sold,,,https://www.redfin.com/MT/Great-Falls/3413-Bison-Ln-59404/home/132162972,MRMLS,22114452,N,Y,47.4733313,-111.3239849,"Greenville County, SC","Greenville, SC"
PAST SALE,December-20-2021,Vacant Land,Tbd Caragana Rd,Ulm,MT,59485,59900,,,Ulm,,87555,,,,25,Sold,,,https://www.redfin.com/MT/Ulm/Tbd-Caragana-Rd-Unknown/home/183263418,MRMLS,22108827,N,Y,47.435763,-111.503152,"Greenville County, SC","Greenville, SC"
PAST SALE,July-20-2021,Multi-Family (2-4 Unit),4032 Ella Ave Ave,Great Falls,MT,59405,275000,4,2.0,Great Falls,3200,7405,,,86,,Sold,,,https://www.redfin.com/MT/Great-Falls/4032-Ella-Ave-59405/home/183265990,MRMLS,22108146,N,Y,47.4948721,-111.2356132,"Greenville County, SC","Greenville, SC"
PAST SALE,June-21-2022,Single Family Residential,3708 4th Ave N,Great Falls,MT,59401,399900,2,2.0,Great Falls,2549,7405,2022,,157,,Sold,,,https://www.redfin.com/MT/Great-Falls/3708-4th-Ave-N-59401/home/132134086,MRMLS,22200204,N,Y,47.5089772,-111.2424575,"Greenville County, SC","Greenville, SC"
PAST SALE,July-25-2022,Vacant Land,0 Armington Rd,Belt,MT,59412,99900,,,Belt,,291852,,,,,Sold,,,https://www.redfin.com/MT/Belt/0-Armington-Rd-59412/home/183274823,MRMLS,22207824,N,Y,47.2907733,-110.8998568,"Greenville County, SC","Greenville, SC"
PAST SALE,September-1-2021,Single Family Residential,25 16th Ave S,Great Falls,MT,59405,299900,3,3.0,Great Falls,2146,23086,1967,,140,,Sold,,,https://www.redfin.com/MT/Great-Falls/25-16th-Ave-S-59405/home/132015456,MRMLS,22109924,N,Y,47.4879901,-111.3074114,"Greenville County, SC","Greenville, SC"
PAST SALE,April-8-2021,Single Family Residential,332 Wilson Butte Rd,Great Falls,MT,59405,799000,5,3.0,Great Falls,3604,4530240,1972,,222,,Sold,,,https://www.redfin.com/MT/Great-Falls/332-Wilson-Butte-Rd-59405/home/132190407,MRMLS,22018291,N,Y,47.40457,-111.297442,"Greenville County, SC","Greenville, SC"
PAST SALE,April-30-2021,Single Family Residential,613 Skyline Dr NE,Great Falls,MT,59404,239000,4,1.5,Great Falls,1700,9147,1965,,141,,Sold,,,https://www.redfin.com/MT/Great-Falls/613-Skyline-Dr-NE-59404/home/132138525,MRMLS,22103486,N,Y,47.5343037,-111.2979818,"Greenville County, SC","Greenville, SC"
PAST SALE,December-29-2022,Single Family Residential,212 32nd St S,Great Falls,MT,59405,172900,3,1.5,Great Falls,1182,3484,1927,,146,,Sold,,,https://www.redfin.com/MT/Great-Falls/212-32nd-St-S-59405/home/132120532,MRMLS,22216146,N,Y,47.5023825,-111.2523213,"Greenville County, SC","Greenville, SC"
PAST SALE,July-20-2022,Single Family Residential,736 33rd Ave NE,Great Falls,MT,59404,350000,5,2.5,Great Falls,2452,13503,1966,,143,,Sold,,,https://www.redfin.com/MT/Great-Falls/736-33rd-Ave-NE-59404/home/132192582,MRMLS,22208266,N,Y,47.5357763,-111.2947027,"Greenville County, SC","Greenville, SC"
PAST SALE,November-20-2025,Single Family Residential,616 Robin Ct,Great Falls,MT,59404,850000,4,2.5,Great Falls,2790,10019,1996,,305,,Sold,,,https://www.redfin.com/MT/Great-Falls/616-Robin-Ct-59404/home/132142599,MRMLS,30060179,N,Y,47.4784856,-111.3237463,"Greenville County, SC","Greenville, SC"
PAST SALE,February-17-2021,Single Family Residential,505 21st Ave NE,Great Falls,MT,59404,164000,5,2.0,Great Falls,1920,7405,1962,,85,,Sold,,,https://www.redfin.com/MT/Great-Falls/505-21st-Ave-NE-59404/home/132046590,MRMLS,22100151,N,Y,47.5255579,-111.3024835,"Greenville County, SC","Greenville, SC"
PAST SALE,July-13-2021,Single Family Residential,2612 1st Ave N,Great Falls,MT,59401,215000,5,1.5,Great Falls,2072,7405,1920,,104,,Sold,,,https://www.redfin.com/MT/Great-Falls/2612-1st-Ave-N-59401/home/132172351,MRMLS,22107652,N,Y,47.5059863,-111.2616019,"Greenville County, SC","Greenville, SC"
PAST SALE,June-4-2021,Single Family Residential,717 36th Ave NE,Great Falls,MT,59404,198000,4,2.0,N Riverview Terr Add NO 6,2016,10018,1971,,98,,Sold,,,https://www.redfin.com/MT/Great-Falls/717-36th-Ave-NE-59404/home/132087199,MRMLS,22106110,N,Y,47.5388607,-111.2962676,"Greenville County, SC","Greenville, SC"
PAST SALE,November-2-2021,Single Family Residential,34 Cox Creek Ln,Cascade,MT,59421,245000,4,2.0,Cascade,2030,96703,1945,,121,,Sold,,,https://www.redfin.com/MT/Cascade/34-Cox-Creek-Ln-59421/home/132050619,MRMLS,22113064,N,Y,47.1345629,-111.8573817,"Greenville County, SC","Greenville, SC"
