SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,COUNTY_SOURCE
PAST SALE,November-2-2022,Single Family Residential,10 Dee Ave,Curtis,NE,69025,207500,3,2.0,Curtis,2890,,1981,,72,,Sold,,,https://www.redfin.com/NE/Curtis/10-Dee-Ave-69025/home/133825008,GMNMLS,20221289,N,Y,40.6353512,-100.500253,"Oconee County, SC","Oconee, SC"
PAST SALE,July-30-2021,Single Family Residential,107 N Hale St,Eustis,NE,69028,72000,3,2.0,Eustis,2200,,1934,,33,,Sold,,,https://www.redfin.com/NE/Eustis/107-N-Hale-St-69028/home/133824822,GMNMLS,20210818,N,Y,40.6637106,-100.0322448,"Oconee County, SC","Oconee, SC"
PAST SALE,October-28-2022,Single Family Residential,104 Allison St,Eustis,NE,69028,100000,2,1.0,Eustis,1144,,1925,,87,,Sold,,,https://www.redfin.com/NE/Eustis/104-E-Allison-St-69028/home/133825157,GMNMLS,20221168,N,Y,40.6609166,-100.0281824,"Oconee County, SC","Oconee, SC"
PAST SALE,May-20-2021,Ranch,0000 Maywood,Maywood,NE,69028,250000,,,Maywood,,,,,,,Sold,,,https://www.redfin.com/NE/Maywood/Maywood-69038/home/184217793,GMNMLS,20201080,N,Y,40.6226671039126,-100.056992711639,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,404 Howard Ave,Curtis,NE,69025,181000,3,2.0,,2414,11326,1950,,75,,,,,https://www.redfin.com/NE/Curtis/404-Howard-Ave-69025/home/133820474,,,N,Y,40.6323444,-100.5137863,"Oconee County, SC","Oconee, SC"
PAST SALE,January-29-2024,Single Family Residential,501 Prentiss Ave,Curtis,NE,69025,160000,5,2.0,CURTIS,3226,,1969,,50,,Sold,,,https://www.redfin.com/NE/Curtis/501-Prentiss-Ave-69025/home/133822082,LCBR,25355,N,Y,40.6331556,-100.510245,"Oconee County, SC","Oconee, SC"
PAST SALE,April-30-2021,Single Family Residential,304 W Hendricks St,Eustis,NE,69028,77325,4,1.0,Eustis,2904,21700,1900,,27,,Sold,,,https://www.redfin.com/NE/Eustis/304-W-Hendricks-St-69028/home/133818774,GMNMLS,20210347,N,Y,40.6668866,-100.0329938,"Oconee County, SC","Oconee, SC"
PAST SALE,April-5-2024,Single Family Residential,73718 Road 417,Eustis,NE,69028,250000,3,1.0,EUSTIS,1800,155945,1906,,139,,Sold,,,https://www.redfin.com/NE/Eustis/73718-Road-417-69028/home/133820714,LCBR,25482,N,Y,40.5148716,-100.0367175,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,401 N Hamilton St,Eustis,NE,69028,185000,4,2.0,,2223,10454,1920,,83,,,,,https://www.redfin.com/NE/Eustis/401-N-Hamilton-St-69028/home/133825140,,,N,Y,40.6658011,-100.0336041,"Oconee County, SC","Oconee, SC"
PAST SALE,November-23-2022,Single Family Residential,101 Cottonwood St,Stockville,NE,69042,145000,3,2.0,Stockville,2560,43560,1972,,57,,Sold,,,https://www.redfin.com/NE/Stockville/101-Cottonwood-ST-69042/home/184217777,GMNMLS,20211560,N,Y,40.493004,-100.38387,"Oconee County, SC","Oconee, SC"
