SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,COUNTY_SOURCE
PAST SALE,November-17-2021,Single Family Residential,1027 3rd Ave NW,Great Falls,MT,59404,205000,3,2.0,Great Falls,1872,6098,1945,,110,,Sold,,,https://www.redfin.com/MT/Great-Falls/1027-3rd-Ave-NW-59404/home/132021062,MRMLS,22113027,N,Y,47.5109246,-111.3304946,"Greenville County, SC","Greenville, SC"
PAST SALE,May-17-2021,Single Family Residential,2221 Central Ave,Great Falls,MT,59401,230000,3,2.0,Great Falls,2016,7405,1913,,114,,Sold,,,https://www.redfin.com/MT/Great-Falls/2221-Central-Ave-59401/home/132083129,MRMLS,22104066,N,Y,47.5053939,-111.2681618,"Greenville County, SC","Greenville, SC"
PAST SALE,July-21-2021,Single Family Residential,"2208 5th Street Nw, Great Falls St",Great Falls,MT,59404,330000,4,2.0,,2504,17860,1957,,132,,Sold,,,https://www.redfin.com/MT/Great-Falls/2208-5th-St-NW-59404/home/132137744,BMTMLS,316792,N,Y,47.5288461,-111.3227751,"Greenville County, SC","Greenville, SC"
PAST SALE,July-15-2021,Multi-Family (2-4 Unit),2704 3rd Ave N,Great Falls,MT,59401,325000,6,3.0,Great Falls,2656,7405,1970,,122,,Sold,,,https://www.redfin.com/MT/Great-Falls/2704-3rd-Ave-N-59401/home/132152084,MRMLS,22107388,N,Y,47.508186,-111.2602592,"Greenville County, SC","Greenville, SC"
PAST SALE,March-3-2022,Mobile/Manufactured Home,4208 Morningside Cir,Great Falls,MT,59405,69900,3,2.0,Great Falls,1586,,1992,,44,,Sold,,,https://www.redfin.com/MT/Great-Falls/4208-Morningside-Cir-59405/home/183269413,MRMLS,22200186,N,Y,47.516211,-111.2319331,"Greenville County, SC","Greenville, SC"
PAST SALE,November-19-2024,Townhouse,304 42nd Ave NE,Great Falls,MT,59404,391400,3,2.0,Great Falls,1618,8443,2023,,242,125,Sold,,,https://www.redfin.com/MT/Great-Falls/304-42nd-Ave-NE-59404/home/187851187,MRMLS,30014951,N,Y,47.544352,-111.308551,"Greenville County, SC","Greenville, SC"
PAST SALE,July-20-2023,Single Family Residential,1116 Skyline Dr NE,Great Falls,MT,59404,383000,3,2.0,SKYLINE HEIGHTS 7th ADD,1343,14157,2023,,285,,Sold,,,https://www.redfin.com/MT/Great-Falls/1116-Skyline-Dr-NE-59404/home/164837356,MRMLS,30010842,N,Y,47.5344334,-111.286168,"Greenville County, SC","Greenville, SC"
PAST SALE,September-30-2021,Single Family Residential,175 Sun Loop Ln,Great Falls,MT,59404,375000,4,2.0,Great Falls,2186,108900,1976,,172,,Sold,,,https://www.redfin.com/MT/Great-Falls/175-Sun-Loop-Ln-59404/home/132160210,MRMLS,22112660,N,Y,47.5345504,-111.5103223,"Greenville County, SC","Greenville, SC"
PAST SALE,October-7-2021,Single Family Residential,1224 1st Ave S,Great Falls,MT,59401,175000,4,1.5,Great Falls,2128,4791,1915,,82,,Sold,,,https://www.redfin.com/MT/Great-Falls/1224-1st-Ave-S-59401/home/132129786,MRMLS,22113133,N,Y,47.5039099,-111.285378,"Greenville County, SC","Greenville, SC"
PAST SALE,September-1-2022,Single Family Residential,528 10th Ave SW,Great Falls,MT,59404,630000,3,2.0,Great Falls,1860,41382,1975,,339,,Sold,,,https://www.redfin.com/MT/Great-Falls/528-10th-Ave-SW-59404/home/132064660,MRMLS,22213106,N,Y,47.4941359,-111.3216702,"Greenville County, SC","Greenville, SC"
PAST SALE,March-12-2021,Single Family Residential,8 Old Stagecoach Ln,Vaughn,MT,59487,485000,4,3.5,Vaughn,3966,101494,2008,,122,,Sold,,,https://www.redfin.com/MT/Vaughn/8-Old-Stagecoach-Ln-59487/home/131940844,MRMLS,22001260,N,Y,47.550994,-111.5721628,"Greenville County, SC","Greenville, SC"
PAST SALE,October-20-2022,Single Family Residential,316 5th Ave S,Great Falls,MT,59405,230000,3,2.0,Great Falls,1248,7405,2022,,184,,Sold,,,https://www.redfin.com/MT/Great-Falls/316-5th-Ave-S-59405/home/131955092,MRMLS,22209244,N,Y,47.4995737,-111.3015303,"Greenville County, SC","Greenville, SC"
